Ind	SpeciesID	SpeciesID	PCA1	PCA2	Group	Gr	SpeciesID	LEN_org	Name	LEN_Name	GeoGroup	PopGeo	SpName	NameBam	VcfOrder_calmd	LD1	LD2	Gr	GroupSamtools	SamName	GroupPCA1	GroupPCA2	GroupPCA_testULM	Region
79	HI.4257.001.BioOHT_72.H239_aln-pe.sorted	HI.4257.001.BioOHT_72.H239_calmd.bam	4.9798925	0.3818802	ame2	A2	H239	4	H239_A2	7	E	A2E	H239	72.H239	67	10.2272736700549	4.4868077639501	3	A2	H239_A2	A2Hyb1	A2Hyb1	A2Hyb1	EA
76	HI.4257.001.BioOHT_33.H248_aln-pe.sorted	HI.4257.001.BioOHT_33.H248_calmd.bam	4.8128813	0.4988657	ame2	A2	H248	4	H248_A2	7	E	A2E	H248	33.H248	26	10.2823117590928	4.47824203042175	3	A2	H248_A2	A2Hyb1	A2Hyb1	A2Hyb1	EA
85	HI.4257.001.BioOHT_71.TB2_aln-pe.sorted	HI.4257.001.BioOHT_71.TB2_calmd.bam	5.6167334	0.4704515	ame2	A2	TB2	3	TB2_A2	6	A	A2A	TB2	71.TB2	66	10.3684165236705	4.51854477309841	3	A2	TB2_A2	A2Hyb1	A2Hyb1	A2Hyb1	NA
91	HI.4257.001.BioOHT_74.TB5_aln-pe.sorted	HI.4257.001.BioOHT_74.TB5_calmd.bam	5.9333306	0.5353994	ame2	A2	TB5	3	TB5_A2	6	A	A2A	TB5	74.TB5	69	10.5747778650441	4.60622511239941	3	A2	TB5_A2	A2	A2	A2	NA
94	HI.4257.001.BioOHT_42.HP30_aln-pe.sorted	HI.4257.001.BioOHT_42.HP30_calmd.bam	0	0	him	H	HP30	4	HP30_H	6	H	HH	HP30	42.HP30	0	0	0	4	H	HP30_H	H	H	H	EA
96	HI.4257.001.BioOHT_8.HP31_aln-pe.sorted	HI.4257.001.BioOHT_8.HP31_calmd.bam	0	0	him	H	HP31	4	HP31_H	6	H	HH	HP31	8.HP31	0	0	0	4	H	HP31_H	H	H	H	EA
95	HI.4257.001.BioOHT_41.HP32_aln-pe.sorted	HI.4257.001.BioOHT_41.HP32_calmd.bam	0	0	him	H	HP32	4	HP32_H	6	H	HH	HP32	41.HP32	0	0	0	4	H	HP32_H	H	H	H	EA
22	HI.4257.001.BioOHT_81.AT146_aln-pe.sorted	HI.4257.001.BioOHT_81.AT146_calmd.bam	-14.014558	6.80943283	nov	N	AT146	5	AT146_N	7	E	NE	AT146	81.AT146	77	-12.8366871438084	-0.412090683057761	1	N	AT146_N	NHyb1	NHyb1	NHyb1	EA
27	HI.4257.001.BioOHT_27.AT83_aln-pe.sorted	HI.4257.001.BioOHT_27.AT83_calmd.bam	-13.073197	2.72901265	nov	N	AT83	4	AT83_N	6	E	NE	AT83	27.AT83	19	-15.7504379218027	0.349235774453523	1	N	AT83_N	NHyb1	NHyb1	NHyb1	EA
23	HI.4257.001.BioOHT_58.BP14_aln-pe.sorted	HI.4257.001.BioOHT_58.BP14_calmd.bam	-14.337674	6.41552136	nov	N	BP14	4	BP14_N	6	E	NE	BP14	58.BP14	51	-14.8617653166086	0.220132956419592	1	N	BP14_N	NHyb1	NHyb1	NHyb1	EA
4	HI.4257.001.BioOHT_45.CKT4_aln-pe.sorted	HI.4257.001.BioOHT_45.CKT4_calmd.bam	-13.701018	11.92937261	nov	N	CKT4	4	CKT4_N	6	E	NE	CKT4	45.CKT4	37	-16.9829793470305	0.548881138160406	1	N	CKT4_N	N	N	N	EA
24	HI.4257.001.BioOHT_84.DDS257_aln-pe.sorted	HI.4257.001.BioOHT_84.DDS257_calmd.bam	-14.337674	6.41552136	nov	N	DDS257	6	DDS257_N	8	E	NE	DDS257	84.DDS257	80	-14.8793375141949	0.223204048694829	1	N	DDS257_N	NHyb1	NHyb1	NHyb1	NA
3	HI.4257.001.BioOHT_19.H260_aln-pe.sorted	HI.4257.001.BioOHT_19.H260_calmd.bam	-13.697381	11.93531103	nov	N	H260	4	H260_N	6	E	NE	H260	19.H260	10	-16.9884174531376	0.550305811012496	1	N	H260_N	N	N	N	EA
25	HI.4257.001.BioOHT_60.H276_aln-pe.sorted	HI.4257.001.BioOHT_60.H276_calmd.bam	-7.190687	6.39506947	nov	N	H276	4	H276_N	6	E	NE	H276	60.H276	54	-15.4901270216202	0.420884059779522	1	N	H276_N	NHyb1	NHyb2	NHyb1	EA
5	HI.4257.001.BioOHT_66.H294_aln-pe.sorted	HI.4257.001.BioOHT_66.H294_calmd.bam	-13.690256	11.92904179	nov	N	H294	4	H294_N	6	E	NE	H294	66.H294	60	-16.9761414420748	0.547651719244442	1	N	H294_N	N	N	N	EA
2	HI.4257.001.BioOHT_56.H323_aln-pe.sorted	HI.4257.001.BioOHT_56.H323_calmd.bam	-12.78133	12.16109717	nov	N	H323	4	H323_N	6	E	NE	H323	56.H323	49	-16.7880473951144	0.045411280290674	1	N	H323_N	NHyb1	NHyb2	NHyb1	EA
26	HI.4257.001.BioOHT_90.H328_aln-pe.sorted	HI.4257.001.BioOHT_90.H328_calmd.bam	-13.16945	4.0390414	nov	N	H328	4	H328_N	6	E	NE	H328	90.H328	86	-16.0221722485695	0.266288230585345	1	N	H328_N	NHyb1	NHyb2	NHyb1	EA
13	HI.4257.001.BioOHT_3.H332_aln-pe.sorted	HI.4257.001.BioOHT_3.H332_calmd.bam	-12.066182	10.39256531	nov	N	H332	4	H332_N	6	E	NE	H332	3.H332	33	-16.9220496653532	0.539591093659356	1	N	H332_N	N	N	N	EA
7	HI.4257.001.BioOHT_86.H346_aln-pe.sorted	HI.4257.001.BioOHT_86.H346_calmd.bam	-13.106568	11.46044933	nov	N	H346	4	H346_N	6	E	NE	H346	86.H346	82	-16.9766743194888	0.542105130576595	1	N	H346_N	N	N	N	EA
14	HI.4257.001.BioOHT_22.H371_aln-pe.sorted	HI.4257.001.BioOHT_22.H371_calmd.bam	-10.771852	10.31027094	nov	N	H371	4	H371_N	6	E	NE	H371	22.H371	14	-17.4459850781242	0.335074393510362	1	N	H371_N	NHyb1	NHyb2	NHyb1	EA
6	HI.4257.001.BioOHT_50.H413a_aln-pe.sorted	HI.4257.001.BioOHT_50.H413a_calmd.bam	-11.486937	11.66972864	nov	N	H413a	5	H413a_N	7	E	NE	H413a	50.H413a	43	-14.7943127698184	0.231512010287319	1	N	H413a_N	NHyb1	NHyb2	NHyb1	EA
16	HI.4257.001.BioOHT_20.H648_aln-pe.sorted	HI.4257.001.BioOHT_20.H648_calmd.bam	-11.98107	10.05700179	nov	N	H648	4	H648_N	6	E	NE	H648	20.H648	12	-16.9312815171491	0.534642976803955	1	N	H648_N	N	N	N	EA
