#topo1 (H,(((A1,A2),N),U));
#topo2 (H,(((A1,A2),U),N));
#topo3 (H,((A1,A2),(N,U)));
#topo4 (H,(((A1,N),A2),U));
#topo5 (H,(((A1,N),U),A2));
#topo6 (H,((A1,N),(A2,U)));
#topo7 (H,(((A1,U),A2),N));
#topo8 (H,(((A1,U),N),A2));
#topo9 (H,((A1,U),(A2,N)));
#topo10 (H,(A1,(A2,(N,U))));
#topo11 (H,(A1,(N,(A2,U))));
#topo12 (H,(A1,(U,(A2,N))));
#topo13 (H,((A1,(A2,N)),U));
#topo14 (H,((A1,(A2,U)),N));
#topo15 (H,(A2,(A1,(N,U))));
topo1	topo2	topo3	topo4	topo5	topo6	topo7	topo8	topo9	topo10	topo11	topo12	topo13	topo14	topo15
4368	4956	124236	84	115500	0	5775	0	0	1134	0	3780	168	189	34650
202860	0	76440	11970	0	0	0	0	0	0	0	0	3570	0	0
208614	0	65520	10080	0	0	0	0	0	0	0	0	10626	0	0
193767	0	76440	16086	0	0	0	0	0	0	0	0	8547	0	0
68292	0	76440	17388	0	0	0	0	0	0	0	0	132720	0	0
59850	5586	26964	588	14700	2394	0	0	139650	756	0	252	0	0	44100
60207	6300	26250	0	2394	14700	0	0	252	44100	0	139650	231	0	756
59913	5586	26964	42	14700	2394	0	0	139650	756	0	252	483	0	44100
59976	5586	26964	126	14700	2394	0	0	139650	756	0	252	336	0	44100
69006	0	65520	18018	0	0	0	0	0	0	0	0	142296	0	0
71862	0	65520	147546	0	0	0	0	0	0	0	0	9912	0	0
4998	63294	24108	420	0	139650	126	0	2394	51450	0	0	168	7350	882
336	5586	86814	252	14700	0	0	139650	0	756	2394	252	0	0	44100
6531	207480	65520	14742	0	0	0	0	0	0	0	0	567	0	0
213633	0	65520	8946	0	0	0	0	0	0	0	0	6741	0	0
420	9450	123900	42	0	11550	0	0	378	144375	0	0	0	0	4725
73168	13520	65520	140028	0	0	0	0	0	0	0	0	2604	0	0
168	1722	43092	1218	3780	0	3948	2520	0	69300	0	1680	294	2730	164388
10479	0	273000	6321	0	0	0	0	0	0	0	0	5040	0	0
216951	0	65520	11739	0	0	0	0	0	0	0	0	630	0	0
214662	0	65520	8148	0	0	0	0	0	0	0	0	6510	0	0
11361	207480	65520	4641	0	0	0	0	0	0	0	0	5838	0	0
203070	10920	65520	11802	0	0	0	0	0	0	0	0	3528	0	0
213801	0	65520	11592	0	0	0	0	0	0	0	0	3927	0	0
241030	37440	1040	14742	0	0	0	0	0	0	0	0	588	0	0
6006	0	65520	195384	0	0	0	0	0	0	0	0	27930	0	0
216531	0	65520	6846	0	0	0	0	0	0	0	0	5943	0	0
213570	0	65520	8316	0	0	0	0	0	0	0	0	7434	0	0
3822	21840	251160	14238	0	0	0	0	0	0	0	0	3780	0	0
214032	0	65520	13881	0	0	0	0	0	0	0	0	1407	0	0
6468	207480	65520	14910	0	0	0	0	0	0	0	0	462	0	0
213633	0	65520	6489	0	0	0	0	0	0	0	0	9198	0	0
211995	0	65520	11634	0	0	0	0	0	0	0	0	5691	0	0
213423	0	65520	9366	0	0	0	0	0	0	0	0	6531	0	0
211827	0	65520	10080	0	0	0	0	0	0	0	0	7413	0	0
214473	0	65520	7182	0	0	0	0	0	0	0	0	7665	0	0
216510	0	65520	6426	0	0	0	0	0	0	0	0	6384	0	0
21735	196560	65520	6300	0	0	0	0	0	0	0	0	4725	0	0
213906	0	65520	11655	0	0	0	0	0	0	0	0	3759	0	0
4032	168	139734	6678	3432	2184	504	32628	3360	67368	504	2520	210	0	31518
2331	4284	102816	3549	4536	0	4368	1134	2142	55398	546	3570	2688	1722	105756
9639	0	222768	17661	0	0	0	0	0	39312	0	4914	546	0	0
3129	167076	55692	12558	0	0	29484	0	4914	0	0	0	12159	0	9828
195120	6630	36270	12600	0	0	0	0	0	5850	0	24570	12630	1170	0
6762	0	232050	6636	3588	0	0	32292	3276	0	0	0	5166	0	5070
224427	0	54600	6006	0	0	0	0	0	0	0	0	9807	0	0
6573	218400	54600	11571	0	0	0	0	0	0	0	0	3696	0	0
108759	0	54600	127071	0	0	0	0	0	0	0	0	4410	0	0
0	0	129192	4620	115500	0	0	0	0	1323	0	3780	0	0	40425
115505	2600	41600	128940	0	0	0	0	0	0	0	0	6195	0	0
99400	8840	31200	152460	0	0	0	0	0	0	0	0	2940	0	0
173460	21840	54600	11760	0	0	0	0	0	0	0	0	33180	0	0
107226	0	54600	17031	0	0	0	0	0	0	0	0	115983	0	0
227850	0	54600	9114	0	0	0	0	0	0	0	0	3276	0	0
226884	0	54600	9093	0	0	0	0	0	0	0	0	4263	0	0
225309	0	54600	7224	0	0	0	0	0	0	0	0	7707	0	0
219996	0	54600	18270	0	0	0	0	0	0	0	0	1974	0	0
226611	0	54600	6426	0	0	0	0	0	0	0	0	7203	0	0
223314	0	54600	6804	0	0	0	0	0	0	0	0	10122	0	0
224154	0	54600	7854	0	0	0	0	0	0	0	0	8232	0	0
226779	0	54600	5166	0	0	0	0	0	0	0	0	8295	0	0
256717	24440	3120	4389	0	0	0	0	0	0	0	0	6174	0	0
222747	0	54600	10164	0	0	0	0	0	0	0	0	7329	0	0
226926	0	54600	6657	0	0	0	0	0	0	0	0	6657	0	0
262244	16120	3120	9513	0	0	0	0	0	0	0	0	3843	0	0
84	2352	34125	294	0	9450	1470	0	462	214725	0	0	0	7728	24150
228102	0	54600	10500	0	0	0	0	0	0	0	0	1638	0	0
226338	0	54600	8631	0	0	0	0	0	0	0	0	5271	0	0
8337	0	273000	4494	0	0	0	0	0	0	0	0	9009	0	0
228081	0	54600	10689	0	0	0	0	0	0	0	0	1470	0	0
224742	0	54600	15120	0	0	0	0	0	0	0	0	378	0	0
224175	0	54600	7791	0	0	0	0	0	0	0	0	8274	0	0
227178	0	54600	7434	0	0	0	0	0	0	0	0	5628	0	0
223902	0	54600	8274	0	0	0	0	0	0	0	0	8064	0	0
223923	0	54600	7056	0	0	0	0	0	0	0	0	9261	0	0
223461	0	54600	7854	0	0	0	0	0	0	0	0	8925	0	0
294	0	92400	147	14700	0	0	0	0	3150	0	252	147	0	183750
226338	0	54600	6993	0	0	0	0	0	0	0	0	6909	0	0
2604	174300	43617	9345	2268	0	23940	0	0	5124	0	1932	5439	20160	6111
252154	18720	10400	13041	0	0	0	0	0	0	0	0	525	0	0
226989	0	54600	6363	0	0	0	0	0	0	0	0	6888	0	0
224784	0	54600	11676	0	0	0	0	0	0	0	0	3780	0	0
221319	0	54600	13062	0	0	0	0	0	0	0	0	5859	0	0
207165	21840	54600	5502	0	0	0	0	0	0	0	0	5733	0	0
225288	0	54600	7224	0	0	0	0	0	0	0	0	7728	0	0
264481	18200	0	6552	0	0	0	0	0	0	0	0	5607	0	0
223629	0	54600	9093	0	0	0	0	0	0	0	0	7518	0	0
12852	218400	54600	4977	0	0	0	0	0	0	0	0	4011	0	0
227556	0	54600	4095	0	0	0	0	0	0	0	0	8589	0	0
225456	0	54600	10668	0	0	0	0	0	0	0	0	4116	0	0
218820	0	54600	13419	0	0	0	0	0	0	0	0	8001	0	0
229782	0	54600	4536	0	0	0	0	0	0	0	0	5922	0	0
227892	0	54600	10500	0	0	0	0	0	0	0	0	1848	0	0
399	69300	22806	21	0	22050	0	2394	378	36750	139650	0	462	0	630
75180	0	54600	162246	0	0	0	0	0	0	0	0	2814	0	0
100674	0	54600	70161	0	0	0	0	0	0	0	0	69405	0	0
219807	0	54600	11739	0	0	0	0	0	0	0	0	8694	0	0
224952	0	54600	15036	0	0	0	0	0	0	0	0	252	0	0
224238	0	54600	9870	0	0	0	0	0	0	0	0	6132	0	0
228984	0	54600	5712	0	0	0	0	0	0	0	0	5544	0	0
504	0	92400	42	14700	0	0	0	0	3150	0	252	42	0	183750
7182	0	273000	6993	0	0	0	0	0	0	0	0	7665	0	0
222285	0	54600	9051	0	0	0	0	0	0	0	0	8904	0	0
202566	0	54600	31122	0	0	0	0	0	0	0	0	6552	0	0
17304	207480	54600	11634	0	0	0	0	0	0	0	0	3822	0	0
191520	0	54600	40845	0	0	0	0	0	0	0	0	7875	0	0
224952	0	54600	11571	0	0	0	0	0	0	0	0	3717	0	0
224742	0	54600	11970	0	0	0	0	0	0	0	0	3528	0	0
219492	0	54600	17094	0	0	0	0	0	0	0	0	3654	0	0
98889	21840	54600	14973	0	0	0	0	0	0	0	0	104538	0	0
9618	218400	54600	11676	0	0	0	0	0	0	0	0	546	0	0
108570	0	54600	15750	0	0	0	0	0	0	0	0	115920	0	0
77112	0	54600	47250	0	0	0	0	0	0	0	0	115878	0	0
126	10080	3066	336	11550	546	144900	0	0	21819	2730	378	0	60144	39165
92085	4620	34230	2415	11550	3780	0	0	115500	945	0	378	462	0	28875
225477	0	54600	3381	0	0	0	0	0	0	0	0	11382	0	0
191982	0	54600	44520	0	0	0	0	0	0	0	0	3738	0	0
1869	185640	46410	10773	0	0	0	0	0	8190	32760	3276	5922	0	0
159264	0	54600	41412	0	0	0	0	0	0	0	0	39564	0	0
191856	0	54600	43974	0	0	0	0	0	0	0	0	4410	0	0
194082	0	54600	37086	0	0	0	0	0	0	0	0	9072	0	0
191772	0	54600	40971	0	0	0	0	0	0	0	0	7497	0	0
191793	0	54600	44184	0	0	0	0	0	0	0	0	4263	0	0
7938	218400	54600	12558	0	0	0	0	0	0	0	0	1344	0	0
12306	218400	54600	5523	0	0	0	0	0	0	0	0	4011	0	0
116450	8320	35880	117495	0	0	0	0	0	0	0	0	16695	0	0
72106	166400	35880	11928	0	0	0	0	0	0	0	0	8526	0	0
215943	0	54600	11655	0	0	0	0	0	0	0	0	12642	0	0
4116	157794	64974	16338	0	0	0	0	0	11466	0	4914	7392	27846	0
76243	166400	35880	6447	0	0	0	0	0	0	0	0	9870	0	0
247124	22360	7800	4893	0	0	0	0	0	0	0	0	12663	0	0
219051	4160	39520	16170	0	0	0	0	0	0	0	0	15939	0	0
215019	0	54600	16338	0	0	0	0	0	0	0	0	8883	0	0
215691	0	54600	15750	0	0	0	0	0	0	0	0	8799	0	0
75453	0	54600	28455	0	0	0	0	0	0	0	0	136332	0	0
75810	0	54600	150318	0	0	0	0	0	0	0	0	14112	0	0
82320	14070	33768	1848	7182	11088	378	0	756	27720	0	105336	2940	5544	1890
26208	9282	204204	4410	0	0	1638	27846	6552	0	0	0	6510	0	8190
186774	2600	52000	41076	0	0	0	0	0	0	0	0	12390	0	0
5397	9240	115710	3087	11088	756	0	99792	11088	1890	6804	756	1512	0	27720
3003	10584	81564	903	28224	252	0	119952	7056	1260	4284	1008	1470	0	35280
41118	0	54600	48615	0	0	0	0	0	0	0	0	150507	0	0
58128	9072	29232	903	4788	21168	0	0	756	35280	0	134064	189	0	1260
2373	6048	87276	1197	252	14112	0	0	504	169344	0	7056	630	0	6048
214830	0	54600	11760	0	0	0	0	0	0	0	0	13650	0	0
218295	0	54600	13083	0	0	0	0	0	0	0	0	8862	0	0
85869	0	54600	77826	0	0	0	0	0	0	0	0	76545	0	0
218547	0	54600	12642	0	0	0	0	0	0	0	0	9051	0	0
67213	166400	35880	15435	0	0	0	0	0	0	0	0	9912	0	0
108129	0	54600	112014	0	0	0	0	0	0	0	0	20097	0	0
103740	0	54600	20118	0	0	0	0	0	0	0	0	116382	0	0
86220	8320	15080	33453	0	0	0	0	0	0	0	0	151767	0	0
48657	0	54600	54642	0	0	0	0	0	0	0	0	136941	0	0
82913	19760	2600	50190	0	0	0	0	0	0	0	0	139377	0	0
