#topo1 (H,(((A1,A2),N),U));
#topo2 (H,(((A1,A2),U),N));
#topo3 (H,((A1,A2),(N,U)));
#topo4 (H,(((A1,N),A2),U));
#topo5 (H,(((A1,N),U),A2));
#topo6 (H,((A1,N),(A2,U)));
#topo7 (H,(((A1,U),A2),N));
#topo8 (H,(((A1,U),N),A2));
#topo9 (H,((A1,U),(A2,N)));
#topo10 (H,(A1,(A2,(N,U))));
#topo11 (H,(A1,(N,(A2,U))));
#topo12 (H,(A1,(U,(A2,N))));
#topo13 (H,((A1,(A2,N)),U));
#topo14 (H,((A1,(A2,U)),N));
#topo15 (H,(A2,(A1,(N,U))));
topo1	topo2	topo3	topo4	topo5	topo6	topo7	topo8	topo9	topo10	topo11	topo12	topo13	topo14	topo15
222768	0	0	4095	0	0	0	0	0	0	0	0	657657	0	0
853965	0	0	20412	0	0	0	0	0	0	0	0	10143	0	0
188433	0	0	7686	0	0	0	0	0	0	0	0	688401	0	0
878976	0	0	1134	0	0	0	0	0	0	0	0	4410	0	0
171234	0	0	682353	0	0	0	0	0	0	0	0	30933	0	0
794430	0	0	31122	0	0	0	0	0	0	0	0	58968	0	0
712044	6864	312	28362	0	0	27456	1248	4992	0	0	0	103242	0	0
852768	0	0	2457	0	0	0	0	0	0	0	0	29295	0	0
816039	0	0	34713	0	0	0	0	0	0	0	0	33768	0	0
196812	0	0	629874	0	0	0	0	0	0	0	0	57834	0	0
224406	0	0	630567	0	0	0	0	0	0	0	0	29547	0	0
796068	0	0	57267	0	0	0	0	0	0	0	0	31185	0	0
96327	0	0	672462	0	0	0	0	0	0	0	0	115731	0	0
315	6552	163800	2457	0	0	0	0	0	655200	0	26208	3780	26208	0
799470	0	0	28098	0	0	0	0	0	0	0	0	56952	0	0
819063	0	0	378	0	34020	0	0	0	0	0	0	31059	0	0
850500	0	0	0	0	34020	0	0	0	0	0	0	0	0	0
884520	0	0	0	0	0	0	0	0	0	0	0	0	0	0
180306	0	0	10206	0	0	0	0	0	0	0	0	694008	0	0
884520	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	129276	0	0	0	0	6804	0	0	0	0	0	0	748440	0
884520	0	0	0	0	0	0	0	0	0	0	0	0	0	0
884520	0	0	0	0	0	0	0	0	0	0	0	0	0	0
884520	0	0	0	0	0	0	0	0	0	0	0	0	0	0
